제품코드,제품명,원재료코드,원재료명,개당투입량,박스당투입량_kg,구매단위,환산계수,1월단가,개당원가_1월,2월단가,개당원가_2월,3월단가,개당원가_3월
DCK-C,두바이코코아,MAT-001,카다이프,28g,0.588,팩,5.0,60000.0,336,60000.0,336.0,62500.0,350
DCK-C,두바이코코아,MAT-002,피스타치오페이스트,36g,0.756,통,1.0,38000.0,1368,52000.0,1872.0,49000.0,1764
DCK-C,두바이코코아,MAT-007,화이트초콜릿,6g,0.126,백,2.5,60000.0,144,60000.0,144.0,61250.0,147
DCK-C,두바이코코아,MAT-005,마시멜로,22g,0.462,봉,1.0,5500.0,121,5500.0,121.0,5600.0,123
DCK-C,두바이코코아,MAT-010,무염버터,5g,0.105,박스,9.0,85500.0,48,85500.0,48.0,87300.0,48
DCK-C,두바이코코아,MAT-008,코코아파우더,3g,0.063,봉,1.0,16000.0,48,16000.0,48.0,16200.0,49
DCK-C,두바이코코아,MAT-011,탈지분유,2g,0.042,봉,1.0,8000.0,16,8000.0,16.0,8000.0,16
DCK-C,두바이코코아,MAT-012,포장재,1개,20.0,박스,250.0,7500.0,30,7500.0,30.0,7500.0,30
DCK-M,두바이말차,MAT-001,카다이프,28g,0.588,팩,5.0,60000.0,336,60000.0,336.0,62500.0,350
DCK-M,두바이말차,MAT-002,피스타치오페이스트,36g,0.756,통,1.0,38000.0,1368,52000.0,1872.0,49000.0,1764
DCK-M,두바이말차,MAT-007,화이트초콜릿,6g,0.126,백,2.5,60000.0,144,60000.0,144.0,61250.0,147
DCK-M,두바이말차,MAT-005,마시멜로,22g,0.462,봉,1.0,5500.0,121,5500.0,121.0,5600.0,123
DCK-M,두바이말차,MAT-010,무염버터,5g,0.105,박스,9.0,85500.0,48,85500.0,48.0,87300.0,48
DCK-M,두바이말차,MAT-009,말차파우더,3g,0.063,파우치,0.5,22500.0,135,22500.0,135.0,22750.0,136
DCK-M,두바이말차,MAT-011,탈지분유,2g,0.042,봉,1.0,8000.0,16,8000.0,16.0,8000.0,16
DCK-M,두바이말차,MAT-012,포장재,1개,20.0,박스,250.0,7500.0,30,7500.0,30.0,7500.0,30
ICK-O,이태리오리지널,MAT-001,카다이프,28g,0.588,팩,5.0,60000.0,336,60000.0,336.0,62500.0,350
ICK-O,이태리오리지널,MAT-003,헤이즐넛페이스트,36g,0.756,통,1.0,18000.0,648,18000.0,648.0,18500.0,666
ICK-O,이태리오리지널,MAT-007,화이트초콜릿,6g,0.126,백,2.5,60000.0,144,60000.0,144.0,61250.0,147
ICK-O,이태리오리지널,MAT-005,마시멜로,22g,0.462,봉,1.0,5500.0,121,5500.0,121.0,5600.0,123
ICK-O,이태리오리지널,MAT-010,무염버터,5g,0.105,박스,9.0,85500.0,48,85500.0,48.0,87300.0,48
ICK-O,이태리오리지널,MAT-004,헤이즐넛분태,5g,0.105,봉,1.0,15000.0,75,15000.0,75.0,15300.0,76
ICK-O,이태리오리지널,MAT-011,탈지분유,2g,0.042,봉,1.0,8000.0,16,8000.0,16.0,8000.0,16
ICK-O,이태리오리지널,MAT-012,포장재,1개,20.0,박스,250.0,7500.0,30,7500.0,30.0,7500.0,30
ICK-D,이태리다크,MAT-001,카다이프,28g,0.588,팩,5.0,60000.0,336,60000.0,336.0,62500.0,350
ICK-D,이태리다크,MAT-003,헤이즐넛페이스트,36g,0.756,통,1.0,18000.0,648,18000.0,648.0,18500.0,666
ICK-D,이태리다크,MAT-006,다크초콜릿,6g,0.126,백,2.5,55000.0,132,55000.0,132.0,56250.0,135
ICK-D,이태리다크,MAT-005,마시멜로,22g,0.462,봉,1.0,5500.0,121,5500.0,121.0,5600.0,123
ICK-D,이태리다크,MAT-010,무염버터,5g,0.105,박스,9.0,85500.0,48,85500.0,48.0,87300.0,48
ICK-D,이태리다크,MAT-004,헤이즐넛분태,5g,0.105,봉,1.0,15000.0,75,15000.0,75.0,15300.0,76
ICK-D,이태리다크,MAT-011,탈지분유,2g,0.042,봉,1.0,8000.0,16,8000.0,16.0,8000.0,16
ICK-D,이태리다크,MAT-012,포장재,1개,20.0,박스,250.0,7500.0,30,7500.0,30.0,7500.0,30
DCK-C,두바이코코아,합계,합계,,,,,,2111,,2615.0,,2527
DCK-M,두바이말차,합계,합계,,,,,,2198,,2702.0,,2614
ICK-O,이태리오리지널,합계,합계,,,,,,1418,,1418.0,,1456
ICK-D,이태리다크,합계,합계,,,,,,1406,,1406.0,,1444
