기록일자,라인,설비코드,설비명,계획가동시간,실가동시간,비가동시간,비가동사유,라인효율,생산수량,상태,근무조,비고
2026-01-02,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,90.6,1800,가동,전일,
2026-01-02,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,90.3,1800,가동,전일,
2026-01-02,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,94.9,1800,가동,전일,
2026-01-02,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,93.4,1800,가동,전일,
2026-01-02,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,95.7,1160,가동,전일,
2026-01-02,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,95.4,1160,가동,전일,
2026-01-02,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,94.9,1160,가동,전일,
2026-01-02,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,94.9,1160,가동,전일,
2026-01-03,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,93.7,1760,가동,전일,
2026-01-03,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,94.1,1760,가동,전일,
2026-01-03,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,91.9,1760,가동,전일,
2026-01-03,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,90.1,1760,가동,전일,
2026-01-03,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,91.6,1220,가동,전일,
2026-01-03,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,95.0,1220,가동,전일,
2026-01-03,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,92.1,1220,가동,전일,
2026-01-03,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,95.5,1220,가동,전일,
2026-01-06,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,95.6,1780,가동,전일,
2026-01-06,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,88.0,1780,가동,전일,
2026-01-06,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,93.9,1780,가동,전일,
2026-01-06,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,91.7,1780,가동,전일,
2026-01-06,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,90.9,1180,가동,전일,
2026-01-06,ITALY,EQ-I02,이태리-중탕기,16.0,15.3,0.7,세팅변경,91.6,1180,가동,전일,
2026-01-06,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,92.0,1180,가동,전일,
2026-01-06,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,90.3,1180,가동,전일,
2026-01-07,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,89.0,1780,가동,전일,
2026-01-07,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,94.3,1780,가동,전일,
2026-01-07,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,94.1,1780,가동,전일,
2026-01-07,DUBAI,EQ-D04,두바이-포장기,16.0,15.3,0.7,품질조치,84.3,1780,가동,전일,
2026-01-07,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,89.3,1200,가동,전일,
2026-01-07,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,95.9,1200,가동,전일,
2026-01-07,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,96.0,1200,가동,전일,
2026-01-07,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,95.1,1200,가동,전일,
2026-01-08,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,95.0,1780,가동,전일,
2026-01-08,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,88.7,1780,가동,전일,
2026-01-08,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,88.7,1780,가동,전일,
2026-01-08,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,93.2,1780,가동,전일,
2026-01-08,ITALY,EQ-I01,이태리-오븐,16.0,15.3,0.7,자재 교체,89.5,1200,가동,전일,
2026-01-08,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,93.2,1200,가동,전일,
2026-01-08,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,88.0,1200,가동,전일,
2026-01-08,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,89.1,1200,가동,전일,
2026-01-09,DUBAI,EQ-D01,두바이-오븐,16.0,15.3,0.7,정기점검,89.4,1780,가동,전일,
2026-01-09,DUBAI,EQ-D02,두바이-중탕기,16.0,15.2,0.8,세팅변경,91.1,1780,가동,전일,
2026-01-09,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,89.1,1780,가동,전일,
2026-01-09,DUBAI,EQ-D04,두바이-포장기,16.0,15.4,0.6,자재 교체,90.9,1780,가동,전일,
2026-01-09,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,90.9,1180,가동,전일,
2026-01-09,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,91.1,1180,가동,전일,
2026-01-09,ITALY,EQ-I03,이태리-코팅기,16.0,14.7,1.3,정기점검,87.3,1180,점검,전일,
2026-01-09,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,93.4,1180,가동,전일,
2026-01-10,DUBAI,EQ-D01,두바이-오븐,16.0,15.3,0.7,자재 교체,89.1,1780,가동,전일,
2026-01-10,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,93.8,1780,가동,전일,
2026-01-10,DUBAI,EQ-D03,두바이-코팅기,16.0,14.9,1.1,정기점검,83.1,1780,점검,전일,
2026-01-10,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,93.5,1780,가동,전일,
2026-01-10,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,88.7,1180,가동,전일,
2026-01-10,ITALY,EQ-I02,이태리-중탕기,16.0,16.0,0.0,,94.0,1180,가동,전일,
2026-01-10,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,91.1,1180,가동,전일,
2026-01-10,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,90.5,1180,가동,전일,
2026-01-13,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,90.2,1760,가동,전일,
2026-01-13,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,92.4,1760,가동,전일,
2026-01-13,DUBAI,EQ-D03,두바이-코팅기,16.0,16.0,0.0,,92.9,1760,가동,전일,
2026-01-13,DUBAI,EQ-D04,두바이-포장기,16.0,16.0,0.0,,93.5,1760,가동,전일,
2026-01-13,ITALY,EQ-I01,이태리-오븐,16.0,16.0,0.0,,93.3,1180,가동,전일,
2026-01-13,ITALY,EQ-I02,이태리-중탕기,16.0,15.2,0.8,정기점검,87.5,1180,가동,전일,
2026-01-13,ITALY,EQ-I03,이태리-코팅기,16.0,16.0,0.0,,94.0,1180,가동,전일,
2026-01-13,ITALY,EQ-I04,이태리-포장기,16.0,16.0,0.0,,88.4,1180,가동,전일,
2026-01-14,DUBAI,EQ-D01,두바이-오븐,16.0,16.0,0.0,,95.6,1840,가동,전일,
2026-01-14,DUBAI,EQ-D02,두바이-중탕기,16.0,16.0,0.0,,88.9,1840,가동,전일,
