일자,구분,원재료코드,원재료명,거래처,LOT번호,수량,단위,단가,금액,수량_kg,창고,발주번호,비고,납기예정일
2026-01-02,IN,MAT-001,카다이프,중동식품,L260102-01,29,팩,60000,1740000,145.0,원료창고A,PO-2601-002,,2026-01-02
2026-01-02,IN,MAT-002,피스타치오페이스트,그린넛코리아,L260102-02,95,통,38000,3610000,95.0,냉장창고,PO-2601-011,,2026-01-02
2026-01-02,IN,MAT-002,피스타치오페이스트,그린넛코리아,L260102-03,108,통,38000,4104000,108.0,냉장창고,PO-2601-012,,2026-01-02
2026-01-02,IN,MAT-003,헤이즐넛페이스트,유로넛츠,L260102-04,124,통,18000,2232000,124.0,냉장창고,PO-2601-021,,2026-01-02
2026-01-02,IN,MAT-006,다크초콜릿,카카오트레이드,L260102-05,4,백,55000,220000,10.0,원료창고B,PO-2601-043,,2026-01-02
2026-01-02,IN,MAT-008,코코아파우더,티파우더,L260102-06,8,봉,16000,128000,8.0,원료창고A,PO-2601-053,,2026-01-02
2026-01-02,IN,MAT-009,말차파우더,티파우더,L260102-07,18,파우치,22500,405000,9.0,원료창고A,PO-2601-058,,2026-01-02
2026-01-02,IN,MAT-010,무염버터,한성식품,L260102-08,5,박스,85500,427500,45.0,냉장창고,PO-2601-063,,2026-01-02
2026-01-02,IN,MAT-011,탈지분유,한성식품,L260102-09,17,봉,8000,136000,17.0,원료창고A,PO-2601-068,,2026-01-02
2026-01-02,IN,MAT-012,포장재,팩앤팩,L260102-10,9000,장,1500,13500000,9000.0,자재창고,PO-2601-073,,2026-01-02
2026-01-02,OUT,MAT-001,카다이프,,,18,팩,60000,1080000,85.2,원료창고A,,DUBAI+ITALY라인 투입,
2026-01-02,OUT,MAT-002,피스타치오페이스트,,,70,통,38000,2660000,69.1,냉장창고,,DUBAI라인 투입,
2026-01-02,OUT,MAT-003,헤이즐넛페이스트,,,43,통,18000,774000,42.7,냉장창고,,ITALY라인 투입,
2026-01-02,OUT,MAT-004,헤이즐넛분태,,,6,봉,15000,90000,5.9,원료창고A,,ITALY라인 투입,
2026-01-02,OUT,MAT-005,마시멜로,,,69,봉,5500,379500,68.1,원료창고A,,DUBAI+ITALY라인 투입,
