월,제품코드,제품명,판매가,재료비,재료비율,인건비배분,제조경비배분,판관비배분,총원가,개당이익,이익률,월생산량_개,월매출,월재료비,월이익
2026-01,DCK-C,두바이코코아,6000,2111,35.2,1576,692,462,4841,1159,19.3,19420,116520000,40995620,22507780
2026-01,DCK-M,두바이말차,6000,2198,36.6,1576,692,462,4928,1072,17.9,19480,116880000,42817040,20882560
2026-01,ICK-O,이태리오리지널,6000,1418,23.6,1576,692,462,4148,1852,30.9,14340,86040000,20334120,26557680
2026-01,ICK-D,이태리다크,6000,1406,23.4,1576,692,462,4136,1864,31.1,11760,70560000,16534560,21920640
2026-02,DCK-C,두바이코코아,6000,2615,43.6,2045,922,643,6225,-225,-3.8,10520,63120000,27509800,-2367000
2026-02,DCK-M,두바이말차,6000,2702,45.0,2045,922,643,6312,-312,-5.2,10380,62280000,28046760,-3238560
2026-02,ICK-O,이태리오리지널,6000,1418,23.6,2045,922,643,5028,972,16.2,14100,84600000,19993800,13705200
2026-02,ICK-D,이태리다크,6000,1406,23.4,2045,922,643,5016,984,16.4,11660,69960000,16393960,11473440
2026-03,DCK-C,두바이코코아,6000,2527,42.1,1764,758,517,5566,434,7.2,15620,93720000,39471740,6779080
2026-03,DCK-M,두바이말차,6000,2614,43.6,1764,758,517,5653,347,5.8,15420,92520000,40307880,5350740
2026-03,ICK-O,이태리오리지널,6000,1456,24.3,1764,758,517,4495,1505,25.1,15040,90240000,21898240,22635200
2026-03,ICK-D,이태리다크,6000,1444,24.1,1764,758,517,4483,1517,25.3,12000,72000000,17328000,18204000
