생산일자,라인,제품코드,제품명,계획수량,생산수량,양품수량,불량수량,달성률,원재료투입량_kg,작업시간,근무조,비고
2026-01-02,DUBAI,DCK-C,두바이코코아,1080,1043,1026,17,96.6,113.2,9.6,A조,
2026-01-02,DUBAI,DCK-M,두바이말차,720,695,682,13,96.5,80.6,8.6,B조,
2026-01-02,ITALY,ICK-O,이태리오리지널,660,637,629,8,96.5,72.3,7.3,A조,
2026-01-02,ITALY,ICK-D,이태리다크,540,524,518,6,97.0,61.0,7.8,B조,
2026-01-03,DUBAI,DCK-C,두바이코코아,1100,1069,1045,24,97.2,114.5,9.7,A조,
2026-01-03,DUBAI,DCK-M,두바이말차,700,691,678,13,98.7,77.6,8.7,B조,
2026-01-03,ITALY,ICK-O,이태리오리지널,660,648,641,7,98.2,71.8,8.1,A조,
2026-01-03,ITALY,ICK-D,이태리다크,540,521,514,7,96.5,61.2,8.0,B조,
2026-01-06,DUBAI,DCK-C,두바이코코아,1080,1015,997,18,94.0,112.2,9.7,A조,
2026-01-06,DUBAI,DCK-M,두바이말차,720,690,677,13,95.8,79.9,9.4,B조,
2026-01-06,ITALY,ICK-O,이태리오리지널,660,638,630,8,96.7,71.5,7.4,A조,
2026-01-06,ITALY,ICK-D,이태리다크,540,520,514,6,96.3,58.7,7.6,B조,
2026-01-07,DUBAI,DCK-C,두바이코코아,1060,1016,998,18,95.8,110.2,8.9,A조,
2026-01-07,DUBAI,DCK-M,두바이말차,740,708,693,15,95.7,81.0,9.4,B조,
2026-01-07,ITALY,ICK-O,이태리오리지널,660,646,638,8,97.9,72.8,8.2,A조,
2026-01-07,ITALY,ICK-D,이태리다크,540,534,526,8,98.9,61.9,7.9,B조,
2026-01-08,DUBAI,DCK-C,두바이코코아,1060,1041,1024,17,98.2,111.7,9.0,A조,
2026-01-08,DUBAI,DCK-M,두바이말차,740,700,690,10,94.6,78.1,9.9,B조,
2026-01-08,ITALY,ICK-O,이태리오리지널,660,645,634,11,97.7,72.7,8.1,A조,
2026-01-08,ITALY,ICK-D,이태리다크,540,518,511,7,95.9,59.0,7.5,B조,
2026-01-09,DUBAI,DCK-C,두바이코코아,1060,1015,995,20,95.8,114.4,9.1,A조,
2026-01-09,DUBAI,DCK-M,두바이말차,740,713,703,10,96.4,83.2,9.3,B조,
2026-01-09,ITALY,ICK-O,이태리오리지널,660,641,634,7,97.1,73.2,8.0,A조,
2026-01-09,ITALY,ICK-D,이태리다크,540,524,518,6,97.0,59.0,7.6,B조,
2026-01-10,DUBAI,DCK-C,두바이코코아,1040,1026,1001,25,98.7,115.4,8.5,A조,
2026-01-10,DUBAI,DCK-M,두바이말차,760,735,721,14,96.7,84.2,9.3,B조,
2026-01-10,ITALY,ICK-O,이태리오리지널,660,637,630,7,96.5,72.0,7.7,A조,
2026-01-10,ITALY,ICK-D,이태리다크,540,534,525,9,98.9,63.0,7.5,B조,
2026-01-13,DUBAI,DCK-C,두바이코코아,1080,1035,1010,25,95.8,116.5,8.9,A조,
2026-01-13,DUBAI,DCK-M,두바이말차,720,697,684,13,96.8,79.5,8.7,B조,
2026-01-13,ITALY,ICK-O,이태리오리지널,660,640,629,11,97.0,72.7,7.3,A조,
2026-01-13,ITALY,ICK-D,이태리다크,540,513,507,6,95.0,57.6,8.1,B조,
2026-01-14,DUBAI,DCK-C,두바이코코아,1080,1068,1050,18,98.9,114.8,9.8,A조,
2026-01-14,DUBAI,DCK-M,두바이말차,720,683,668,15,94.9,75.6,9.2,B조,
2026-01-14,ITALY,ICK-O,이태리오리지널,660,654,643,11,99.1,72.6,7.7,A조,
2026-01-14,ITALY,ICK-D,이태리다크,540,528,521,7,97.8,60.2,8.1,B조,
2026-01-15,DUBAI,DCK-C,두바이코코아,1060,1016,996,20,95.8,113.5,8.8,A조,
2026-01-15,DUBAI,DCK-M,두바이말차,740,720,709,11,97.3,84.0,9.5,B조,
2026-01-15,ITALY,ICK-O,이태리오리지널,660,628,621,7,95.2,70.1,7.6,A조,
2026-01-15,ITALY,ICK-D,이태리다크,540,526,519,7,97.4,59.8,7.5,B조,
2026-01-16,DUBAI,DCK-C,두바이코코아,1100,1086,1069,17,98.7,122.5,9.8,A조,
2026-01-16,DUBAI,DCK-M,두바이말차,700,684,675,9,97.7,76.4,9.5,B조,
2026-01-16,ITALY,ICK-O,이태리오리지널,660,640,628,12,97.0,72.9,7.7,A조,
2026-01-16,ITALY,ICK-D,이태리다크,540,527,519,8,97.6,61.9,7.5,B조,
2026-01-17,DUBAI,DCK-C,두바이코코아,1100,1079,1059,20,98.1,118.7,9.6,A조,
2026-01-17,DUBAI,DCK-M,두바이말차,700,684,671,13,97.7,79.7,8.6,B조,
2026-01-17,ITALY,ICK-O,이태리오리지널,660,632,620,12,95.8,70.6,7.5,A조,
2026-01-17,ITALY,ICK-D,이태리다크,540,527,520,7,97.6,60.6,7.6,B조,
2026-01-20,DUBAI,DCK-C,두바이코코아,1080,1045,1026,19,96.8,117.6,9.3,A조,
2026-01-20,DUBAI,DCK-M,두바이말차,720,721,712,9,100.1,84.1,9.8,B조,
2026-01-20,ITALY,ICK-O,이태리오리지널,660,661,649,12,100.2,73.5,7.7,A조,
2026-01-20,ITALY,ICK-D,이태리다크,540,519,513,6,96.1,59.6,7.4,B조,
2026-01-21,DUBAI,DCK-C,두바이코코아,1080,1015,998,17,94.0,113.7,9.2,A조,
2026-01-21,DUBAI,DCK-M,두바이말차,720,719,707,12,99.9,83.7,10.0,B조,
2026-01-21,ITALY,ICK-O,이태리오리지널,660,624,617,7,94.5,69.9,8.2,A조,
2026-01-21,ITALY,ICK-D,이태리다크,540,518,511,7,95.9,60.0,8.0,B조,
2026-01-22,DUBAI,DCK-C,두바이코코아,1080,1066,1046,20,98.7,119.9,8.7,A조,
2026-01-22,DUBAI,DCK-M,두바이말차,720,702,687,15,97.5,77.7,8.8,B조,
2026-01-22,ITALY,ICK-O,이태리오리지널,660,627,619,8,95.0,69.6,8.1,A조,
2026-01-22,ITALY,ICK-D,이태리다크,540,516,510,6,95.6,59.9,7.9,B조,
2026-01-23,DUBAI,DCK-C,두바이코코아,1060,1008,989,19,95.1,113.9,8.8,A조,
2026-01-23,DUBAI,DCK-M,두바이말차,740,723,709,14,97.7,80.8,9.1,B조,
2026-01-23,ITALY,ICK-O,이태리오리지널,660,635,627,8,96.2,73.0,7.4,A조,
2026-01-23,ITALY,ICK-D,이태리다크,540,517,510,7,95.7,61.4,8.2,B조,
2026-01-24,DUBAI,DCK-C,두바이코코아,1100,1075,1057,18,97.7,121.5,9.8,A조,
2026-01-24,DUBAI,DCK-M,두바이말차,700,681,667,14,97.3,76.6,8.7,B조,
2026-01-24,ITALY,ICK-O,이태리오리지널,660,647,637,10,98.0,75.4,7.9,A조,
2026-01-24,ITALY,ICK-D,이태리다크,540,512,507,5,94.8,60.2,7.6,B조,
2026-01-27,DUBAI,DCK-C,두바이코코아,1060,1007,992,15,95.0,108.6,8.7,A조,
2026-01-27,DUBAI,DCK-M,두바이말차,740,696,684,12,94.1,77.9,9.4,B조,
2026-01-27,ITALY,ICK-O,이태리오리지널,660,638,628,10,96.7,71.4,7.7,A조,
2026-01-27,ITALY,ICK-D,이태리다크,540,517,509,8,95.7,60.9,7.4,B조,
2026-01-28,DUBAI,DCK-C,두바이코코아,1080,1034,1020,14,95.7,115.8,9.5,A조,
2026-01-28,DUBAI,DCK-M,두바이말차,720,701,691,10,97.4,80.6,9.3,B조,
2026-01-28,ITALY,ICK-O,이태리오리지널,660,638,631,7,96.7,73.9,8.1,A조,
2026-01-28,ITALY,ICK-D,이태리다크,540,523,516,7,96.9,61.6,7.8,B조,
2026-01-29,DUBAI,DCK-C,두바이코코아,1100,1070,1052,18,97.3,120.7,9.7,A조,
2026-01-29,DUBAI,DCK-M,두바이말차,700,682,668,14,97.4,79.1,8.8,B조,
2026-01-29,ITALY,ICK-O,이태리오리지널,660,639,628,11,96.8,74.1,7.7,A조,
2026-01-29,ITALY,ICK-D,이태리다크,540,526,519,7,97.4,59.6,8.1,B조,
2026-01-30,DUBAI,DCK-C,두바이코코아,1060,1055,1031,24,99.5,118.8,8.5,A조,
2026-01-30,DUBAI,DCK-M,두바이말차,740,696,682,14,94.1,78.2,9.9,B조,
2026-01-30,ITALY,ICK-O,이태리오리지널,660,645,634,11,97.7,72.2,8.0,A조,
2026-01-30,ITALY,ICK-D,이태리다크,540,508,503,5,94.1,59.9,8.1,B조,
2026-01-31,DUBAI,DCK-C,두바이코코아,1100,1070,1050,20,97.3,116.7,9.7,A조,
2026-01-31,DUBAI,DCK-M,두바이말차,700,697,687,10,99.6,76.9,8.8,B조,
2026-01-31,ITALY,ICK-O,이태리오리지널,660,630,618,12,95.5,70.5,7.9,A조,
2026-01-31,ITALY,ICK-D,이태리다크,540,537,530,7,99.4,63.7,7.8,B조,
2026-02-03,DUBAI,DCK-C,두바이코코아,900,872,842,30,96.9,94.4,9.9,A조,
2026-02-03,DUBAI,DCK-M,두바이말차,600,574,562,12,95.7,63.6,9.2,B조,
2026-02-03,ITALY,ICK-O,이태리오리지널,660,632,619,13,95.8,71.7,7.6,A조,
2026-02-03,ITALY,ICK-D,이태리다크,540,509,499,10,94.3,58.0,7.9,B조,
2026-02-04,DUBAI,DCK-C,두바이코코아,940,940,914,26,100.0,104.9,9.6,A조,
2026-02-04,DUBAI,DCK-M,두바이말차,580,557,542,15,96.0,62.7,8.6,B조,
2026-02-04,ITALY,ICK-O,이태리오리지널,660,628,617,11,95.2,72.6,7.9,A조,
2026-02-04,ITALY,ICK-D,이태리다크,540,510,502,8,94.4,58.3,7.7,B조,
2026-02-05,DUBAI,DCK-C,두바이코코아,920,871,853,18,94.7,95.6,9.9,A조,
2026-02-05,DUBAI,DCK-M,두바이말차,580,562,547,15,96.9,65.2,9.4,B조,
2026-02-05,ITALY,ICK-O,이태리오리지널,660,628,619,9,95.2,70.3,7.7,A조,
2026-02-05,ITALY,ICK-D,이태리다크,540,531,521,10,98.3,61.9,7.7,B조,
2026-02-06,DUBAI,DCK-C,두바이코코아,900,852,829,23,94.7,96.1,9.7,A조,
2026-02-06,DUBAI,DCK-M,두바이말차,600,579,568,11,96.5,64.1,9.3,B조,
2026-02-06,ITALY,ICK-O,이태리오리지널,660,626,611,15,94.8,72.0,7.9,A조,
2026-02-06,ITALY,ICK-D,이태리다크,540,511,503,8,94.6,58.0,7.3,B조,
2026-02-07,DUBAI,DCK-C,두바이코코아,900,865,837,28,96.1,93.0,9.1,A조,
2026-02-07,DUBAI,DCK-M,두바이말차,600,590,575,15,98.3,65.7,9.5,B조,
2026-02-07,ITALY,ICK-O,이태리오리지널,660,624,610,14,94.5,68.8,8.0,A조,
2026-02-07,ITALY,ICK-D,이태리다크,540,519,508,11,96.1,58.6,7.7,B조,
2026-02-10,DUBAI,DCK-C,두바이코코아,900,884,860,24,98.2,95.0,8.9,A조,
2026-02-10,DUBAI,DCK-M,두바이말차,600,600,583,17,100.0,67.9,9.7,B조,
2026-02-10,ITALY,ICK-O,이태리오리지널,660,614,601,13,93.0,71.4,8.1,A조,
2026-02-10,ITALY,ICK-D,이태리다크,540,491,482,9,90.9,57.4,7.8,B조,
2026-02-11,DUBAI,DCK-C,두바이코코아,0,0,0,0,0.0,0.0,0.0,,카다이프 재고소진-라인중단
2026-02-11,DUBAI,DCK-M,두바이말차,0,0,0,0,0.0,0.0,0.0,,카다이프 재고소진-라인중단
2026-02-11,ITALY,ICK-O,이태리오리지널,720,703,687,16,97.6,80.8,7.7,A조,
2026-02-11,ITALY,ICK-D,이태리다크,580,548,541,7,94.5,62.4,7.9,B조,
2026-02-12,DUBAI,DCK-C,두바이코코아,0,0,0,0,0.0,0.0,0.0,,카다이프 재고소진-라인중단
2026-02-12,DUBAI,DCK-M,두바이말차,0,0,0,0,0.0,0.0,0.0,,카다이프 재고소진-라인중단
2026-02-12,ITALY,ICK-O,이태리오리지널,720,696,683,13,96.7,77.9,7.4,A조,
2026-02-12,ITALY,ICK-D,이태리다크,580,547,540,7,94.3,62.4,7.6,B조,
2026-02-13,DUBAI,DCK-C,두바이코코아,0,0,0,0,0.0,0.0,0.0,,카다이프 재고소진-라인중단
2026-02-13,DUBAI,DCK-M,두바이말차,0,0,0,0,0.0,0.0,0.0,,카다이프 재고소진-라인중단
2026-02-13,ITALY,ICK-O,이태리오리지널,720,688,678,10,95.6,78.9,7.9,A조,
2026-02-13,ITALY,ICK-D,이태리다크,580,558,552,6,96.2,64.1,7.8,B조,
2026-02-14,DUBAI,DCK-C,두바이코코아,0,0,0,0,0.0,0.0,0.0,,카다이프 재고소진-라인중단
2026-02-14,DUBAI,DCK-M,두바이말차,0,0,0,0,0.0,0.0,0.0,,카다이프 재고소진-라인중단
2026-02-14,ITALY,ICK-O,이태리오리지널,720,687,675,12,95.4,79.7,7.8,A조,
2026-02-14,ITALY,ICK-D,이태리다크,580,563,554,9,97.1,66.4,8.0,B조,
